"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▼23,Demente,"Denise Rosenthal, Lola Indigo",33,10,2,6,10
▲11,positions,Ariana Grande,35,46,8,5,1
▼16,Fever,"Dua Lipa, Angèle",35,19,6,5,3
▼13,motive (with Doja Cat),"Ariana Grande, Doja Cat",37,24,7,3,1
▼6,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",37,31,6,3,18
▼15,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",37,22,5,3,3
NEW,Whisper,Sweet California,37,-,1,3,37
NEW,Un bacio all'improvviso,"Rocco Hunt, Ana Mena",37,-,1,3,37
RE,God is a woman,Ariana Grande,42,-,13,2,5
RE,Side To Side,"Ariana Grande, Nicki Minaj",42,-,16,2,19
NEW,traitor,Olivia Rodrigo,42,-,1,2,42
NEW,brutal,Olivia Rodrigo,42,-,1,2,42
RE,Break My Heart,Dua Lipa,42,-,2,2,22
NEW,Beggin',Måneskin,42,-,1,2,42
▼17,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",42,25,4,2,8
NEW,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",42,-,1,2,42
NEW,You Right,"Doja Cat, The Weeknd",42,-,1,2,42
RE,7 rings,Ariana Grande,42,-,18,2,11
RE,"thank u, next",Ariana Grande,42,-,17,2,11
NEW,Loco,"Justin Quiles, Chimbala, Zion & Lennox",42,-,1,2,42
NEW,Jarana,"Hugo Cobo, Lennis Rodriguez",42,-,1,2,42
▼17,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",42,25,9,2,1
NEW,Yonaguni,Bad Bunny,42,-,1,2,42
RE,Read My Lips,"INNA, Farina",42,-,5,2,1
NEW,Sonar,Eva B,42,-,1,2,42
NEW,A Un Paso De La Luna - Remix,"Reik, Rocco Hunt, Ana Mena",42,-,1,2,42
NEW,A Un Paso De La Luna,"Ana Mena, Rocco Hunt",42,-,1,2,42
▼10,¿Qué Más Quieres de Mí?,Marta Sango,42,32,5,2,1
▼6,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",42,36,6,2,7
NEW,no stas aki,"Ariadna, Yer",42,-,1,2,42
,,,,,,,
2021-03-29 to 2021-05-23,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Kiss Me More (feat. SZA),"Doja Cat, SZA",1,-,1,227,1
NEW,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",2,-,1,199,2
NEW,Confetti (feat. Saweetie),"Little Mix, Saweetie",3,-,1,188,3
NEW,Espacio,Eva B,4,-,1,182,4
NEW,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",5,-,1,134,5
NEW,CALLE,"Lola Indigo, Guaynaa, Cauty",6,-,1,119,6
NEW,RAM PAM PAM,"Natti Natasha, Becky G",7,-,1,80,7
▼3,Frío y calor,Eva B,8,5,3,62,1
▼8,Sacrifice,Bebe Rexha,9,1,2,50,1
▼8,test drive,Ariana Grande,10,2,3,48,2²
NEW,Demente,"Denise Rosenthal, Lola Indigo",10,-,1,48,10
▼8,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",12,4,5,43,1
NEW,Tick-Tock,Albina,13,-,1,36,13
▲8,Frío y calor - Acústico,Eva B,14,22,2,32,14
NEW,Je me casse,Destiny,15,-,1,28,15
NEW,Las Nenas (feat. La Duraca),"Natti Natasha, Cazzu, Farina, La Duraca",16,-,1,27,16
NEW,MONTERO (Call Me By Your Name),Lil Nas X,17,-,1,25,17
NEW,Loco Loco,Hurricane,18,-,1,24,18
▼16,Fever,"Dua Lipa, Angèle",19,3,5,22,3
NEW,Adrenalina,"Senhit, Flo Rida",19,-,1,22,19
NEW,Sugar,Natalia Gordienko,19,-,1,22,19
▼15,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",22,7,4,21,3
▼16,We're Good,Dua Lipa,22,6,2,21,6
▼7,motive (with Doja Cat),"Ariana Grande, Doja Cat",24,17,6,19,1
▼17,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",25,8,3,17,8
NEW,El Diablo,Elena Tsagrinou,25,-,1,17,25
▼13,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",25,12,8,17,1
NEW,Last Dance,Stefania,25,-,1,17,25
▼16,Nada,"Cali Y El Dandee, Danna Paola",29,13,4,14,8
▼16,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",30,14,4,13,2
▼11,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",31,20,5,12,18
NEW,Fast (Motion),Saweetie,32,-,1,11,32
▼15,¿Qué Más Quieres de Mí?,Marta Sango,32,17,4,11,1
NEW,EL MAKINON,"KAROL G, Mariah Angeliq",34,-,1,9,34
▼25,pov,Ariana Grande,34,9,6,9,3
▼14,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",36,22,5,8,6
NEW,MONTERO (Call Me By Your Name) - SATAN'S EXTENDED VERSION,Lil Nas X,36,-,1,8,36
▼19,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",36,17,5,8,2
▼22,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",36,14,5,8,7
▼30,Body,Megan Thee Stallion,40,10,2,7,10
▼19,Up,Cardi B,40,21,2,7,21
▼17,Good Form,Nicki Minaj,42,25,3,6,25
▼16,Fusión del Núcleo,Chica Sobresalto,42,26,6,6,11
NEW,"Best Friend (feat. Doja Cat, Jamie & CHANMINA) [Remix]","Jamie, CHANMINA, Saweetie, Doja Cat",42,-,1,6,42
NEW,Best Friend (feat. Doja Cat & Katja Krasavice) [Remix],"Katja Krasavice, Saweetie, Doja Cat",42,-,1,6,42
▼18,positions,Ariana Grande,46,28,7,5,1
NEW,My Type (feat. Becky G & Melii) - Latin Remix,"Saweetie, Becky G, Melii",46,-,1,5,46
NEW,Cry About It Later (feat. Luísa Sonza & Bruno Martini),"Katy Perry, Luísa Sonza, Bruno Martini",46,-,1,5,46
NEW,Arcade,Duncan Laurence,49,-,1,4,49
NEW,Best Friend (feat. Doja Cat & Stefflon Don) [Remix],"Stefflon Don, Saweetie, Doja Cat",49,-,1,4,49
▼21,Midnight Sky,Miley Cyrus,49,28,9,4,5
NEW,Mata Hari,Efendi,49,-,1,4,49
NEW,Truly Madly Deeply,Savage Garden,53,-,1,3,53
▼22,Del Mar,"Ozuna, Doja Cat, Sia",53,31,7,3,8
RE,Like It,ZENA,53,-,4,3,7
▼22,Read My Lips (feat. Farina),"INNA, Farina",53,31,6,3,13
NEW,Hate Me,"Ellie Goulding, Juice WRLD",57,-,1,2,57
▼30,Born To Die,Lana Del Rey,57,27,2,2,27
NEW,Bum Bum Tam Tam,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán",57,-,1,2,57
NEW,good 4 u,Olivia Rodrigo,57,-,1,2,57
▼14,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",57,43,8,2,3
▼46,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","Ava Max, Lauv, Saweetie",57,11,5,2,8
,,,,,,,
2021-03-01 to 2021-03-28,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Sacrifice,Bebe Rexha,1,-,1,90,1
'=,test drive,Ariana Grande,2,2,2,51,2²
▲15,Fever,"Dua Lipa, Angèle",3,18,4,48,3
▼1,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",4,3,4,38,1
▼4,Frío y calor,Eva B,5,1,2,35,1
NEW,We're Good,Dua Lipa,6,-,1,34,6
▼3,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",7,4,3,29,3
▲13,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",8,21,2,27,8
▼2,pov,Ariana Grande,9,7,5,24,3
NEW,Body,Megan Thee Stallion,10,-,1,23,10
RE,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","Ava Max, Lauv, Saweetie",11,-,4,22,8
▼4,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",12,8,7,19,1
▼5,Nada,"Cali Y El Dandee, Danna Paola",13,8,3,18,8
▲14,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",14,28,13,17,1
▼9,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",14,5,3,17,2
▲13,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",14,27,4,17,7
▼3,motive (with Doja Cat),"Ariana Grande, Doja Cat",17,14,5,16,1
▼4,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",17,13,4,16,2
▼12,¿Qué Más Quieres de Mí?,Marta Sango,17,5,3,16,1
▲1,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",20,21,4,14,18
NEW,Up,Cardi B,21,-,1,13,21
RE,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",22,-,10,12,3
▼12,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",22,10,4,12,6
NEW,Frío y calor - Acústico,Eva B,22,-,1,12,22
RE,Good Form,Nicki Minaj,25,-,2,11,25
▼15,Fusión del Núcleo,Chica Sobresalto,26,11,5,9,11
NEW,Born To Die,Lana Del Rey,27,-,1,7,27
▼13,positions,Ariana Grande,28,15,6,6,1
▼16,Midnight Sky,Miley Cyrus,28,12,8,6,5
RE,Chun-Li,Nicki Minaj,30,-,2,4,30
RE,Young And Beautiful,Lana Del Rey,31,-,6,3,1
RE,Anaconda,Nicki Minaj,31,-,3,3,31
RE,Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion",31,-,4,3,23
▲3,obvious,Ariana Grande,31,34,5,3,21
▲15,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",31,46,10,3,5²
▼3,7 rings,Ariana Grande,31,28,17,3,11
▲5,"thank u, next",Ariana Grande,31,36,16,3,11
▼11,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj, YoungBoy Never Broke Again",31,20,5,3,5
▲5,"break up with your girlfriend, i'm bored",Ariana Grande,31,36,13,3,17
NEW,Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",31,-,1,3,31
▼16,Del Mar,"Ozuna, Doja Cat, Sia",31,15,6,3,8
▼16,Read My Lips (feat. Farina),"INNA, Farina",31,15,5,3,13
RE,the light is coming (feat. Nicki Minaj),"Ariana Grande, Nicki Minaj",43,-,3,2,16
▼7,Get On Your Knees,"Nicki Minaj, Ariana Grande",43,36,3,2,5
RE,six thirty,Ariana Grande,43,-,4,2,18
▼7,34+35,Ariana Grande,43,36,5,2,5
▼22,just like magic,Ariana Grande,43,21,5,2,6
▲3,my hair,Ariana Grande,43,46,4,2,22
▲3,nasty,Ariana Grande,43,46,4,2,22
RE,west side,Ariana Grande,43,-,3,2,22
RE,love language,Ariana Grande,43,-,4,2,25
▼9,off the table (with The Weeknd),"Ariana Grande, The Weeknd",43,34,5,2,15
NEW,someone like u - interlude,Ariana Grande,43,-,1,2,43
▼12,worst behavior,Ariana Grande,43,31,2,2,31
▼24,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",43,19,7,2,3
▲3,IDOL,"BTS, Nicki Minaj",43,46,3,2,10
▼7,boyfriend (with Social House),"Ariana Grande, Social House",43,36,13,2,17
▼22,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",43,21,6,2,2
▼22,MORE,Theoz,43,21,5,2,14
▼15,MORE,Eva B,43,28,5,2,2
,,,,,,,
2021-01-25 to 2021-02-28,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Frío y calor,Eva B,1,-,1,159,1
NEW,test drive,Ariana Grande,2,-,1,105,2
▲5,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",3,8,3,56,1
▼1,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",4,3,2,49,3
▼3,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",5,2,2,33,2
▼4,¿Qué Más Quieres de Mí?,Marta Sango,5,1,2,33,1
▼3,pov,Ariana Grande,7,4,4,31,3
▲10,Nada,"Cali Y El Dandee, Danna Paola",8,18,2,29,8
▲15,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",8,23,6,29,1
▼4,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",10,6,3,27,6
▲2,Fusión del Núcleo,Chica Sobresalto,11,13,4,23,11
▼4,Midnight Sky,Miley Cyrus,12,8,7,20,5
▼8,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",13,5,3,19,2
▼1,motive (with Doja Cat),"Ariana Grande, Doja Cat",14,13,4,16,1
▼5,positions,Ariana Grande,15,10,5,14,1
▼2,Del Mar,"Ozuna, Doja Cat, Sia",15,13,5,14,8
▼2,Read My Lips (feat. Farina),"INNA, Farina",15,13,4,14,13
▲25,Fever,"Dua Lipa, Angèle",18,43,3,13,9
▼9,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",19,10,6,10,3
'=,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj, YoungBoy Never Broke Again",20,20,4,9,5
NEW,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",21,-,1,8,21
▲7,just like magic,Ariana Grande,21,28,4,8,6
RE,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",21,-,3,8,18
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",21,-,10,8,1
▼15,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",21,6,5,8,2
▲2,MORE,Theoz,21,23,4,8,14
▲16,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",27,43,3,7,7
▼5,7 rings,Ariana Grande,28,23,16,6,11
▼10,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",28,18,12,6,1
▼8,MORE,Eva B,28,20,4,6,2
NEW,worst behavior,Ariana Grande,31,-,1,5,31
NEW,main thing,Ariana Grande,31,-,1,5,31
▲12,+ (MÁS),"Aitana, Cali Y El Dandee",31,43,3,5,14
▲9,obvious,Ariana Grande,34,43,4,4,21
▲9,off the table (with The Weeknd),"Ariana Grande, The Weeknd",34,43,4,4,15
▼8,God is a woman,Ariana Grande,36,28,12,3,5
RE,Get On Your Knees,"Nicki Minaj, Ariana Grande",36,-,2,3,5
▲7,One Last Time,Ariana Grande,36,43,9,3,22
RE,shut up,Ariana Grande,36,-,3,3,9
▼26,34+35,Ariana Grande,36,10,4,3,5
▼8,"thank u, next",Ariana Grande,36,28,15,3,11
▼8,"break up with your girlfriend, i'm bored",Ariana Grande,36,28,12,3,17
▼13,boyfriend (with Social House),"Ariana Grande, Social House",36,23,12,3,17
▼13,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",36,23,9,3,2
RE,NO TE HAS IDO Y YA TE EXTRAÑO,Aitana,36,-,2,3,7
▼18,breathin,Ariana Grande,46,28,8,2,22
▼3,no tears left to cry,Ariana Grande,46,43,12,2,10
▼3,Side To Side,"Ariana Grande, Nicki Minaj",46,43,15,2,19
▼18,Break Free,"Ariana Grande, Zedd",46,28,6,2,23
▼3,Greedy,Ariana Grande,46,43,9,2,17
▼3,Let Me Love You,"Ariana Grande, Lil Wayne",46,43,9,2,22
▼18,Love Me Harder,"Ariana Grande, The Weeknd",46,28,6,2,17
▼18,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",46,28,11,2,1²
RE,my hair,Ariana Grande,46,-,3,2,22
RE,nasty,Ariana Grande,46,-,3,2,22
▼3,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",46,43,9,2,5²
RE,IDOL,"BTS, Nicki Minaj",46,-,2,2,10
RE,Más De Lo Que Aposté,"Aitana, Morat",46,-,5,2,7
NEW,por la boca vive el pez,Ariadna,46,-,1,2,46
RE,América,Eva B,46,-,6,2,1
▼18,Dumb,Eva B,46,28,11,2,2
,,,,,,,
2020-12-28 to 2021-01-24,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,¿Qué Más Quieres de Mí?,Marta Sango,1,-,1,125,1
NEW,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",2,-,1,37,2
NEW,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",3,-,1,19,3
▼1,pov,Ariana Grande,4,3,3,13,3
▼3,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",5,2,2,12,2
▲26,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",6,32,2,11,6
▲23,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",6,29,4,11,2
▼7,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",8,1,2,10,1
▲10,Midnight Sky,Miley Cyrus,8,18,6,10,5
▼5,34+35,Ariana Grande,10,5,3,8,5
▼4,positions,Ariana Grande,10,6,4,8,1
▲22,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",10,32,5,8,3
NEW,drivers license,Olivia Rodrigo,13,-,1,7,13
▼9,motive (with Doja Cat),"Ariana Grande, Doja Cat",13,4,3,7,1
▲28,Fusión del Núcleo,Chica Sobresalto,13,41,3,7,13
▲23,Del Mar,"Ozuna, Doja Cat, Sia",13,36,4,7,8
▲43,Read My Lips (feat. Farina),"INNA, Farina",13,56,3,7,13
NEW,Nada,"Cali Y El Dandee, Danna Paola",18,-,1,6,18
▲38,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",18,56,11,6,1
▼2,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj, YoungBoy Never Broke Again",20,18,3,5,5
RE,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","Ava Max, Lauv, Saweetie",20,-,3,5,8
▲4,MORE,Eva B,20,24,3,5,2
▲27,7 rings,Ariana Grande,23,50,15,4,11
▲9,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",23,32,5,4,1
RE,boyfriend (with Social House),"Ariana Grande, Social House",23,-,11,4,17
▲33,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",23,56,8,4,2
▲13,MORE,Theoz,23,36,3,4,14
RE,breathin,Ariana Grande,28,-,7,3,22
RE,God is a woman,Ariana Grande,28,-,11,3,5
RE,Break Free,"Ariana Grande, Zedd",28,-,5,3,23
NEW,Don't Play,"Anne-Marie, KSI, Digital Farm Animals",28,-,1,3,28
RE,Love Me Harder,"Ariana Grande, The Weeknd",28,-,5,3,17
RE,Problem,"Ariana Grande, Iggy Azalea",28,-,6,3,22
RE,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",28,-,10,3,1²
▼10,just like magic,Ariana Grande,28,18,3,3,6
RE,X (with KAROL G),"Jonas Brothers, KAROL G",28,-,8,3,7
▲22,"thank u, next",Ariana Grande,28,50,14,3,11
RE,The Way,"Ariana Grande, Mac Miller",28,-,5,3,22
RE,"break up with your girlfriend, i'm bored",Ariana Grande,28,-,11,3,17
RE,Friend De Semana,"Danna Paola, Luísa Sonza, Aitana",28,-,2,3,28
RE,High (Remix),"Maria Becerra, TINI, Lola Indigo",28,-,3,3,2
▲17,Dumb,Eva B,28,45,10,3,2
RE,Let's Twist Again,Eva B,43,-,6,2,8
RE,no tears left to cry,Ariana Grande,43,-,11,2,10
RE,Side To Side,"Ariana Grande, Nicki Minaj",43,-,14,2,19
RE,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",43,-,8,2,22
RE,Here,Alessia Cara,43,-,7,2,10
RE,Greedy,Ariana Grande,43,-,8,2,17
RE,Let Me Love You,"Ariana Grande, Lil Wayne",43,-,8,2,22
RE,One Last Time,Ariana Grande,43,-,8,2,22
▼7,six thirty,Ariana Grande,43,36,3,2,18
▼7,love language,Ariana Grande,43,36,3,2,25
▲2,obvious,Ariana Grande,43,45,3,2,21
▼11,off the table (with The Weeknd),"Ariana Grande, The Weeknd",43,32,3,2,15
RE,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",43,-,8,2,5²
▼34,Fever,"Dua Lipa, Angèle",43,9,2,2,9
NEW,Nada - Remix,"Cali Y El Dandee, Danna Paola, Guaynaa, Brytiago, Akon, Andrés Torres, Mauricio Rengifo",43,-,1,2,43
▼17,11 RAZONES,Aitana,43,26,2,2,26
NEW,Zorra - Remix,"Bad Gyal, Rauw Alejandro",43,-,1,2,43
RE,Huracán,Nick Maylo,43,-,3,2,2
RE,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",43,-,6,2,9
RE,tu juego,Ariadna,43,-,3,2,1
RE,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",43,-,6,2,10
▼25,SI NO VAS A VOLVER,Aitana,43,18,2,2,18
▼36,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",43,7,2,2,7
▼29,+ (MÁS),"Aitana, Cali Y El Dandee",43,14,2,2,14
,,,,,,,
2020-11-16 to 2020-12-27,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",1,-,1,79,1
NEW,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",2,-,1,41,2
▲1,pov,Ariana Grande,3,4,2,26,3
▼3,motive (with Doja Cat),"Ariana Grande, Doja Cat",4,1,2,24,1
▲2,34+35,Ariana Grande,5,7,2,19,5
▼4,positions,Ariana Grande,6,2,3,18,1
NEW,NO TE HAS IDO Y YA TE EXTRAÑO,Aitana,7,-,1,17,7
NEW,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",7,-,1,17,7
NEW,Fever,"Dua Lipa, Angèle",9,-,1,15,9
RE,Santa Tell Me,Ariana Grande,10,-,2,14,10
▼1,shut up,Ariana Grande,10,9,2,14,9
NEW,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"Mariah Carey, Ariana Grande, Jennifer Hudson",12,-,1,13,12
NEW,ESTUPIDEZ,"Aitana, Beret",12,-,1,13,12
NEW,El mundo entero,Eva B,14,-,1,12,14
NEW,= (IGUAL),Aitana,14,-,1,12,14
NEW,– (MENOS),"Aitana, Alvaro Diaz, Pole.",14,-,1,12,14
NEW,+ (MÁS),"Aitana, Cali Y El Dandee",14,-,1,12,14
NEW,All I Want for Christmas Is You,Mariah Carey,18,-,1,11,18
▼12,just like magic,Ariana Grande,18,6,2,11,6
▼13,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj, YoungBoy Never Broke Again",18,5,2,11,5
NEW,Last Christmas,Ariana Grande,18,-,1,11,18
▲13,Midnight Sky,Miley Cyrus,18,31,5,11,5
NEW,SI NO VAS A VOLVER,Aitana,18,-,1,11,18
▼6,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",24,18,2,10,18
▼22,MORE,Eva B,24,2,2,10,2
NEW,11 RAZONES,Aitana,26,-,1,9,26
NEW,÷ (DIVIDIDO),Aitana,26,-,1,9,26
NEW,X (POR),Aitana,26,-,1,9,26
▼7,my hair,Ariana Grande,29,22,2,8,22
RE,Corazón Sin Vida,"Aitana, Sebastian Yatra",29,-,2,8,15
▼17,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",29,12,3,8,2
▼17,off the table (with The Weeknd),"Ariana Grande, The Weeknd",32,15,2,7,15
NEW,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",32,-,1,7,32
▼23,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",32,9,4,7,3
RE,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",32,-,4,7,1
NEW,Jingle Bell Rock - Single Version,Bobby Helms,36,-,1,6,36
▼18,six thirty,Ariana Grande,36,18,2,6,18
▼11,love language,Ariana Grande,36,25,2,6,25
▼22,MORE,Theoz,36,14,2,6,14
▼11,Del Mar,"Ozuna, Doja Cat, Sia",36,25,3,6,8
▼19,nasty,Ariana Grande,41,22,2,5,22
▼19,west side,Ariana Grande,41,22,2,5,22
'=,Fusión del Núcleo,Chica Sobresalto,41,41,2,5,41
▼33,QUIÉN DIJO MIEDO,Samantha,41,8,2,5,8
RE,I Follow Rivers,Eva B,45,-,8,4,1
▼24,obvious,Ariana Grande,45,21,2,4,21
NEW,DÁKITI,"Bad Bunny, Jhay Cortez",45,-,1,4,45
RE,América,Eva B,45,-,5,4,1
▼4,Dumb,Eva B,45,41,9,4,2
▼9,7 rings,Ariana Grande,50,41,14,3,11
▼19,"thank u, next",Ariana Grande,50,31,13,3,11
RE,Boss Bitch,Doja Cat,50,-,6,3,1
NEW,In Your Eyes (with Doja Cat) - Remix,"The Weeknd, Doja Cat",50,-,1,3,50
▼41,AHORA O NUNCA,Samantha,50,9,2,3,9
▼32,TODO DE TI,Samantha,50,18,2,3,18
NEW,My Head & My Heart,Ava Max,56,-,1,2,56
NEW,BICHOTA,KAROL G,56,-,1,2,56
NEW,Last Christmas,Wham!,56,-,1,2,56
NEW,Shout Out to My Ex,Little Mix,56,-,1,2,56
NEW,Reggaetón Lento (Remix),"CNCO, Little Mix",56,-,1,2,56
▼15,Enemigos,"Aitana, Reik",56,41,10,2,3
RE,Lola,"Iggy Azalea, Alice Chater",56,-,9,2,2
NEW,Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes, Justin Bieber",56,-,1,2,56
▼31,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",56,25,10,2,1
▼31,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",56,25,7,2,2
NEW,Ese o ese,Anaju,56,-,1,2,56
▼44,Read My Lips,"INNA, Farina",56,12,4,2,1
NEW,Nuestro Nombre,Natalia Lacunza,56,-,1,2,56
NEW,Blinding Lights (with ROSALÍA) - Remix,"The Weeknd, ROSALÍA",56,-,1,2,56
NEW,El Aguacate Es Potasio - TikTok Version,Hey Santana,56,-,1,2,56
▼15,Read My Lips (feat. Farina),"INNA, Farina",56,41,2,2,41
,,,,,,,
2020-10-26 to 2020-11-15,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,motive (with Doja Cat),"Ariana Grande, Doja Cat",1,-,1,32,1
▼1,positions,Ariana Grande,2,1,2,30,1
NEW,MORE,Eva B,2,-,1,30,2
NEW,pov,Ariana Grande,4,-,1,28,4
NEW,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj, YoungBoy Never Broke Again",5,-,1,26,5
NEW,just like magic,Ariana Grande,6,-,1,16,6
NEW,34+35,Ariana Grande,7,-,1,15,7
NEW,QUIÉN DIJO MIEDO,Samantha,8,-,1,14,8
NEW,shut up,Ariana Grande,9,-,1,13,9
▼6,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",9,3,3,13,3
NEW,AHORA O NUNCA,Samantha,9,-,1,13,9
▼10,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",12,2,2,11,2
