"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
RE,No Lie,"Sean Paul, Dua Lipa",42,-,2,2,27
RE,breathin,Ariana Grande,42,-,10,2,22
RE,God is a woman,Ariana Grande,42,-,16,2,5
RE,no tears left to cry,Ariana Grande,42,-,14,2,10
RE,the light is coming (feat. Nicki Minaj),"Ariana Grande, Nicki Minaj",42,-,5,2,16
NEW,Pon de Replay,Rihanna,42,-,1,2,42
RE,Side To Side,"Ariana Grande, Nicki Minaj",42,-,18,2,19
RE,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",42,-,9,2,22
RE,Greedy,Ariana Grande,42,-,11,2,17
RE,Let Me Love You,"Ariana Grande, Lil Wayne",42,-,11,2,22
RE,Why Try,Ariana Grande,42,-,2,2,42
RE,Love Me Harder,"Ariana Grande, The Weeknd",42,-,7,2,17
NEW,Best Mistake,"Ariana Grande, Big Sean",42,-,1,2,42
RE,Be My Baby,"Ariana Grande, Cashmere Cat",42,-,2,2,42
NEW,Hallucinate,Dua Lipa,42,-,1,2,42
RE,Love Again,Dua Lipa,42,-,3,2,33
RE,Break My Heart,Dua Lipa,42,-,3,2,22
RE,S&M,Rihanna,42,-,2,2,24
NEW,Take Care,"Drake, Rihanna",42,-,1,2,42
RE,motive (with Doja Cat),"Ariana Grande, Doja Cat",42,-,15,2,1
RE,Vas A Quedarte,Aitana,42,-,3,2,29
RE,"thank u, next",Ariana Grande,42,-,21,2,11
RE,"break up with your girlfriend, i'm bored",Ariana Grande,42,-,16,2,17
RE,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",42,-,11,2,1
▼7,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",42,35,8,2,3²
RE,Mon Amour - Remix,"zzoilo, Aitana",42,-,7,2,1
RE,¿Qué Más Quieres de Mí?,Marta Sango,42,-,9,2,1
